Timestamp,Where is the closest major city or hub?,Biotech sub industry?,Company or Institution Name,Company Details - public/private/start-up/ subsidiary of,Company Detail - Approximate Company Size,Role / Title of current position,Highest achieved Formal Education,Years of Experience,Compensation - Annual Base Salary/Pay,Compensation - Annual Target Bonus ($),Compensation - Annual Equity,Compensation - Sign on Bonus Value,[OPTIONAL] Sign on - Relocation Assistance Total Value,What country do you work in?,Compensation - Overtime Pay,[Optional] Company Review,[Optional] Briefly describe your position,List other relevant and recognized certifications,Compensation - Retirement Benefits (free text),Compensation - Healthcare Benefits (free text),Compensation - Stock Options,Compensation - Most recent annual yearly raise (%),Compensation - Options,Have you one a post-doc?
5/8/2022 0:17:11,test,Academia/Research,poop,Subsidiary,NA,pimp,High School or Equivalent,1,123,123,Not Applicable/None,123,12e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 0:38:18,Los Angeles,Consulting,NA,Private,50-200,Senior Manager,Masters or Equivalent,6,160000,16000,30000,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 0:39:38,San Diego,Pharmaceutical (including “big pharma”),NA,Public,50-200,Research Associate I,Bachelors or Equivalent,0,55000,4400,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 0:40:47,Illinois,Academia/Research,NA,Academia/College/Universities,5000+,Researcher 1,Bachelors or Equivalent,2,28000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 0:40:49,New Jersey,Pharmaceutical (including “big pharma”),Wuxi Biologics,Public,1000-5000,Manufacturing technician III,Bachelors or Equivalent,6,72800,5824,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 0:42:01,Near boston,Pharmaceutical (including “big pharma”),Abbvie,Public,5000+,Senior scientist I,PhD or Equivalent,0,120000,8%,Not Applicable/None,7000,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 0:55:17,Toronto,Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Software Engineer (DevOps),Associate’s Degree or Equivalent,20,140000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 0:57:19,Bay Area,Pharmaceutical (including “big pharma”),NA,Private,1000-5000,Research Associate II,Bachelors or Equivalent,4,82000,12.50%,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 1:00:21,Seattle,Medical Devices,NA,Public,1000-5000,Bioinformatics Scientist I,PhD or Equivalent,1,140000,11000,15000,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 1:09:14,Seattle,Academia/Research,NA,Start-up,50-200,Sr. Scientist,PhD or Equivalent,4,140000,21000,Not Applicable/None,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 1:09:44,NJ,Pharmaceutical (including “big pharma”),NA,Private,5000+,Contract Assistant Scientist,Bachelors or Equivalent,2,54745,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 1:20:40,San Diego,Pharmaceutical (including “big pharma”),NA,Public,200-1000,Research Associate II,Masters or Equivalent,2,68000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 1:24:52,"Santa Barbara, CA",Medical Devices,NA,Private,1-50,Head of Production,Bachelors or Equivalent,2,63648,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 1:26:39,San Diego,Medical Devices,Illumina,Public,5000+,Scientist I,PhD or Equivalent,0,103000,8240,15000,0,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 1:26:42,South San Francisco,Pharmaceutical (including “big pharma”),Pact Pharma,Private,50-200,Scientist 1,Bachelors or Equivalent,13,131200,10,Not sure,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 1:27:32,Boston,Pharmaceutical (including “big pharma”),Intellia Therapeutics,Public,200-1000,Associate Scientist,Masters or Equivalent,4,100000,10000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 1:29:01,"Kansas City, MO",Pharmaceutical (including “big pharma”),NA,Public,5000+,Associate Scientist II,Bachelors or Equivalent,1,51500,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 1:29:24,San Francisco Bay Area,Academia/Research,NA,Start-up,1-50,Bioinformatics Scientist,PhD or Equivalent,1,155000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 1:30:57,RDU,Pharmaceutical (including “big pharma”),NA,Public,5000+,Associate Process Engineer,Bachelors or Equivalent,2,72000,7200,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 1:36:17,San francisco,Pharmaceutical (including “big pharma”),NA,Private,5000+,Senior clinical scientist,PhD or Equivalent,11,220000,40000,45000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 1:53:41,MVA,Pharmaceutical (including “big pharma”),NA,Public,1000-5000,Scientist I,PhD or Equivalent,2,108000,15000,85000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 2:16:36,Bay area,Pharmaceutical (including “big pharma”),NA,Public,5000+,Research scientist,Masters or Equivalent,2,95000,6500,Not Applicable/None,5000,9000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 2:25:37,France,Pharmaceutical (including “big pharma”),Sanofi,Public,5000+,Principal scientist,M.D./PharmD/D.D.S. or Equivalent,7,75000,7500,11500,0,100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 2:53:07,Los Angeles,Pharmaceutical (including “big pharma”),NA,Public,200-1000,Principal Engineer,Bachelors or Equivalent,8,190000,38000,Not Applicable/None,NA,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 3:06:16,Bay Area,Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Research Associate,Bachelors or Equivalent,1,75000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 3:19:22,Bay area,Pharmaceutical (including “big pharma”),Gilead,Public,5000+,SRA 1,Bachelors or Equivalent,5,100000,7500,5000,5000,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 4:46:54,Switzerland,Research devices,NA,Private,50-200,Scientific Affairs Scientist,PhD or Equivalent,3,88000,7000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 5:23:46,Philadelphia,Pharmaceutical (including “big pharma”),Janssen,Public,5000+,Sr. Scientist,PhD or Equivalent,6,142000,15%,15% LTI for ~50% people in pay band,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 5:56:58,Boston,Pharmaceutical (including “big pharma”),NA,Public,50-200,Scientist 1,PhD or Equivalent,1,101000,12000,Not Applicable/None,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 6:48:45,Boston,Academia/Research,Arbor Biotechnologies,Start-up,50-200,Senior Research Associate,Associate’s Degree or Equivalent,4,82000,6150,Not Applicable/None,NA,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 6:56:02,Baltimore/Washington DC,Pharmaceutical (including “big pharma”),NA,Public,5000+,Scientist 1,PhD or Equivalent,0,88000,3500,Not Applicable/None,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 6:59:07,San Diego,Pharmaceutical (including “big pharma”),NA,Public,50-200,Scientist I,PhD or Equivalent,4,120000,Not Applicable/None,Not Applicable/None,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 7:01:38,Boston,Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Scientist,PhD or Equivalent,2,124000,6000,Not Applicable/None,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 7:05:29,New York metropolitan area,Pharmaceutical (including “big pharma”),NA,Public,5000+,Scientist II,Bachelors or Equivalent,3,83567,6267,Not Applicable/None,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 7:29:42,"Brighton, UK",Academia/Research,NA,Academia/College/Universities,1000-5000,Research Associate,Bachelors or Equivalent,0,35000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 7:30:52,Boston,Pharmaceutical (including “big pharma”),NA,Private,50-200,Principal Research Associate II,Bachelors or Equivalent,9,105000,15000,Variable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 8:00:39,Boston,Pharmaceutical (including “big pharma”),NA,Private,50-200,Research Associate  2,Bachelors or Equivalent,5,82000,10%,Not Applicable/None,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 8:09:11,Thousand Oaks (Los Angeles),Pharmaceutical (including “big pharma”),Amgen,Public,5000+,Sr. Associate Manufacturing,Bachelors or Equivalent,4,85000,~5-10k (performance based),LTI ~2k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 8:25:41,Ireland,Pharmaceutical (including “big pharma”),NA,Private,200-1000,QA Analyst,Bachelors or Equivalent,1,41200,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 8:50:29,New York City,Pharmaceutical (including “big pharma”),NA,Public,5000+,Senior scientist,Masters or Equivalent,4,142000,15%,$8k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 8:52:58,"Chicago, IL",Pharmaceutical (including “big pharma”),AbbVie,Public,5000+,Senior Scientist I,PhD or Equivalent,2,114000,8%,Not Applicable/None,20000,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 8:55:36,"Portland, OR",Medical Devices,NA,Private,1-50,Research associate II,Bachelors or Equivalent,4,72000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 9:18:48,Boston,Pharmaceutical (including “big pharma”),NA,Private,50-200,Scientist I,PhD or Equivalent,4,122000,10%,Not Applicable/None,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 9:26:59,"Indianapolis, IN",Pharmaceutical (including “big pharma”),Eli Lilly,Public,5000+,Scientist,Bachelors or Equivalent,0,66000,6k plus or minus some. Up to 14k,6% 401K match. Pension after 5 years.,NA,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 9:32:45,"RTP, NC",Pharmaceutical (including “big pharma”),NA,Start-up,50-200,Director,Bachelors or Equivalent,18,200000,50000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 9:35:41,Boston,Medical Devices,NA,Public,200-1000,Production Associate 1,Associate’s Degree or Equivalent,1,55000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 9:46:16,Boston,Pharmaceutical (including “big pharma”),Biogen,Public,5000+,Sr Scientist,PhD or Equivalent,4,148000,25900,24000,15000,40000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 10:02:46,Canada,Animal Health,NA,Public,1000-5000,Supervisor,Bachelors or Equivalent,5,102000,10200,Not Applicable/None,5000,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 10:09:13,Boston,Academia/Research,DFCI,Private,200-1000,Intern,High School or Equivalent,1,0,Not Applicable/None,Not Applicable/None,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 10:19:20,Boston,Pharmaceutical (including “big pharma”),Abbvie,Public,5000+,Scientist I,Bachelors or Equivalent,5,89000,8%,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 10:27:34,"Cambridge, MA",Pharmaceutical (including “big pharma”),NA,Private,50-200,Senior Scientist,PhD or Equivalent,2,140000,16%,Not Applicable/None,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 10:28:36,Kansas City,Pharmaceutical (including “big pharma”),NA,Public,5000+,Associate Scientist,Bachelors or Equivalent,1,50000,Not Applicable/None,Not Applicable/None,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 10:35:55,Seattle,Analytical Devices,NanoString Technologies Inc.,Public,200-1000,Research Associate II,Masters or Equivalent,3,62500,3125,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 10:49:47,Orange County,Pharmaceutical (including “big pharma”),"Commissioning Agents, Inc",Private,1000-5000,CQV Engineer,Bachelors or Equivalent,0,81120,Not Applicable/None,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 11:11:59,Boston,Pharmaceutical (including “big pharma”),NA,Public,200-1000,Research Associate I,Bachelors or Equivalent,1,72000,7200,2500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 11:25:29,Phoenix,Medical Devices,NA,Public,200-1000,Field Applications Scientist,Masters or Equivalent,11,88400,8000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 11:34:31,bay area,Pharmaceutical (including “big pharma”),NA,Public,50-200,principal scientist,PhD or Equivalent,8,170000,25000,30000,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 11:35:38,bay area,Pharmaceutical (including “big pharma”),NA,Private,50-200,senior scientist 1,PhD or Equivalent,8,148000,25000,30000,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 11:38:03,Seattle,Pharmaceutical (including “big pharma”),Just-Evotec Biologics,Subsidiary,200-1000,Associate Scientist,Bachelors or Equivalent,1,70000,3500,~3500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 11:42:22,Pittsburgh,Academia/Research,NA,Academia/College/Universities,5000+,PhD Student,Bachelors or Equivalent,0,30000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 12:05:15,Boston,Pharmaceutical (including “big pharma”),NA,Public,50-200,Senior associate scientist,Bachelors or Equivalent,4,109000,16500,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 12:33:42,Bay Area,Pharmaceutical (including “big pharma”),NA,Public,200-1000,Sr. Scientist I,PhD or Equivalent,3,135000,13500,not sure,7500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 12:44:08,"Newark, CA",Pharmaceutical (including “big pharma”),NA,Public,200-1000,Research Associate I - Protein Purification,Bachelors or Equivalent,2,76650,7665,13000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 13:06:45,"Knoxville, TN",Academia/Research,ORNL,Government,5000+,Postdoc,PhD or Equivalent,1,70000,Not Applicable/None,Not Applicable/None,0,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 13:07:30,"Cambridge, UK",Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Research Technican,Bachelors or Equivalent,0,25500,2550,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 13:20:20,SF Bay Area,Pharmaceutical (including “big pharma”),NA,Private,50-200,Senior Scientist,PhD or Equivalent,7,185000,37000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 13:49:38,"Cambridge,MA",Pharmaceutical (including “big pharma”),NA,Public,50-200,Scientist I,PhD or Equivalent,0,125,12000,Not Applicable/None,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 14:03:00,"Hayward, CA",Pharmaceutical (including “big pharma”),NA,Public,200-1000,Scientist,PhD or Equivalent,0,135000,13500,Not Applicable/None,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 14:21:36,Seattle,Pharmaceutical (including “big pharma”),NA,Subsidiary,50-200,Scientist,Bachelors or Equivalent,3,100000,6000,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 14:52:23,Bay Area,Pharmaceutical (including “big pharma”),NA,Public,200-1000,Principal Research Associate,Masters or Equivalent,6,118000,11800,Not Applicable/None,5000,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 14:53:03,Triangle,Pharmaceutical (including “big pharma”),NA,Public,5000+,Sr. Validation Engineer,Bachelors or Equivalent,10,95000,9500,Not Applicable/None,NA,18000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 15:04:39,Bay Area,Pharmaceutical (including “big pharma”),NA,Public,1000-5000,Sr. Manager,PhD or Equivalent,20,175000,Not Applicable/None,Not Applicable/None,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 16:06:46,Boston,Pharmaceutical (including “big pharma”),NA,Public,1000-5000,MFG Supervisor,Masters or Equivalent,6,130000,13000,Not Applicable/None,10000,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 16:26:13,Seattle,Pharmaceutical (including “big pharma”),NA,Private,1000-5000,Specialist I,Bachelors or Equivalent,3,62000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 16:28:44,"Waco, TX",Pharmaceutical (including “big pharma”),Abbvie,Public,5000+,Laboratory Technician V,Bachelors or Equivalent,3,70720,3%,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 16:39:11,Bay Area,Academia/Research,NA,Start-up,1-50,Scientist,PhD or Equivalent,2,96000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 16:54:50,New Haven,Pharmaceutical (including “big pharma”),NA,Public,1000-5000,Associate Scientist II,Bachelors or Equivalent,2,77000,7%,10000 RSUs,NA,24000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 16:57:43,San Diego,Pharmaceutical (including “big pharma”),NA,Public,50-200,Research Associate II,Bachelors or Equivalent,2,88000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 17:17:26,Boston,Pharmaceutical (including “big pharma”),NA,Public,200-1000,Scientist,PhD or Equivalent,2,135000,15,10000,NA,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 17:47:11,Belgium,Academia/Research,NA,Academia/College/Universities,200-1000,PhD student,Masters or Equivalent,0,27000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 18:32:25,Chicago IL,Lab consumables,NA,Public,5000+,Scientist I,Bachelors or Equivalent,2,69300,7000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 19:27:11,San Francisco,Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Research Associate,Bachelors or Equivalent,1,80000,7%,4750,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 19:34:55,Los Angeles,Pharmaceutical (including “big pharma”),NA,Public,5000+,QC Analyst 2,Bachelors or Equivalent,1,70720,5000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 19:59:48,"San Antonio, texas",Animal research (government),NA,Government,200-1000,Research associate,Bachelors or Equivalent,3,40000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 20:09:53,Chicagoland,Pharmaceutical (including “big pharma”),NA,Public,5000+,QC Supervisor,Bachelors or Equivalent,12,98500,7000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/2022 20:22:34,RTP,Medical testing,NA,Private,5000+,Associate Chemist,Bachelors or Equivalent,6,49920,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
