Timestamp,What country do you work in?,Where is the closest major city or hub?,Biotech sub industry?,Company or Institution Name,Company Details - public/private/start-up/ subsidiary of,Company Detail - Approximate Company Size,Role / Title of current position,Highest achieved Formal Education,List other relevant and recognized certifications,[Optional] Briefly describe your position,Years of Experience,Compensation - Annual Base Salary/Pay,Compensation - Overtime Pay,Compensation - Annual Target Bonus ($),Compensation - Annual Equity,Compensation - Sign on Bonus Value,Compensation - Stock Options,Compensation - Retirement Benefits (free text),Compensation - Healthcare Benefits (free text),Compensation - Most recent annual yearly raise (%),[OPTIONAL] Sign on - Relocation Assistance Total Value,[Optional] Company Review
2023-08-06T13:35:23Z,Canada,Toronto,Academia/Research/Institution,Prefer not to say,Private,200-1000,Medical Writer,Bachelors or Equivalent,None,Regulatory writing in clinical CRO,,60000,,,,NA,,,,,NA,NA
2023-04-19T19:24:23Z,Germany,Munich,Academia/Research/Institution,Max Planck Institute,Academia/College/Universities,5000+,Post-doc,PhD or Equivalent,None,NA,,58000,,,,NA,,,,,NA,"Very good place, very fair treatment"
2023-06-22T16:28:49Z,Slovenia,Ljubljana,Academia/Research/Institution,Prefer not to say,Public,50-200,Student assistant researcher,Bachelors or Equivalent,None,"Student helping out in the downstream processes department of a Biotech company, mostly working with protein extraction and quantification",,13166,,,,NA,,,,,NA,NA
2023-06-14T15:30:45Z,United Kingdom,Edinburgh,Academia/Research/Institution,University of Edinburgh,Academia/College/Universities,5000+,Postdoc,PhD or Equivalent,None,Postdoc,,38000,,,,NA,,,,,NA,NA
2023-03-29T02:06:31Z,United States,Bay Area,Academia/Research/Institution,Prefer not to say,Start-up,1-50,Research Scientist,Masters or Equivalent,None,NA,,105000,,,,NA,,,,,NA,NA
2023-03-29T10:29:20Z,United States,Seattle,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,50-200,Bioinformatics intern,Masters or Equivalent,None,Single cell RNA seq analysis,,74000,,,,NA,,,,,4000,NA
2023-03-29T16:57:27Z,United States,Los Angeles,Academia/Research/Institution,Thermo Fisher,Public,5000+,Technical Application Scientist II,PhD or Equivalent,None,NA,,83000,,,,NA,,,,,NA,NA
2023-03-29T19:50:17Z,United States,New York,Academia/Research/Institution,Regeneron,Private,5000+,Process development associate II,Bachelors or Equivalent,None,NA,,80000,,,,10000,,,,,NA,NA
2023-04-03T16:14:40Z,United States,New York,Academia/Research/Institution,Prefer not to say,Private,1-50,Licensing Agent,PhD or Equivalent,None,NA,,195000,,,,NA,,,,,NA,NA
2023-04-08T07:56:37Z,United States,Research Triangle,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,5000+,Associate Scientist II,Bachelors or Equivalent,None,NA,,115000,,,,NA,,,,,NA,NA
2023-05-29T10:33:26Z,United States,Boston,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,1-50,Research Associate,Bachelors or Equivalent,None,NA,,70000,,,,3000,,,,,0,n/a
2023-05-29T15:09:36Z,United States,Miami,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,1000-5000,Lab Technician,Bachelors or Equivalent,None,Set up models and materials for academic lab,,37600,,,,NA,,,,,NA,NA
2023-06-23T16:06:48Z,United States,Boston,Academia/Research/Institution,Catamaran Bio,Private,1-50,Associate Scientist,Masters or Equivalent,None,NA,,11000,,,,NA,,,,,NA,Good company. Seemed like leadership actually cared and listened
2023-07-16T14:34:13Z,United States,Portland,Academia/Research/Institution,Prefer not to say,Public,200-1000,Supervisor,Bachelors or Equivalent,MB(ASCP),Supervise Gene Production laboratory,,87400,,,,NA,,,,,NA,NA
2023-07-31T19:00:41Z,United States,San Diego,Academia/Research/Institution,The Salk Institute for Biological Studies,Academia/College/Universities,50-200,Bioinformatics Analyst II,PhD or Equivalent,None,NA,,86360,,,,NA,,,,,5000,NA
2023-08-22T15:04:17Z,United States,Midwest,Academia/Research/Institution,R1 Level University,Academia/College/Universities,5000+,Scientist I,PhD or Equivalent,None,Bioinformatician,,70000,,,,0,,,,,NA,NA
2023-10-08T23:17:21Z,United States,San Diego,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,200-1000,Director,Bachelors or Equivalent,None,Technology core lab,,155,,,,NA,,,,,NA,NA
2023-10-28T16:00:14Z,United States,Bay Area,Academia/Research/Institution,Prefer not to say,Start-up,1-50,Research Associate,Bachelors or Equivalent,None,Assist PhD scientists with experiments relating to antibody discovery and manufacturing,,65000,,,,NA,,,,,NA,NA
2023-11-20T08:31:32Z,United States,Providence,Academia/Research/Institution,Brown University,Academia/College/Universities,1000-5000,Research Services Technician,Associate’s Degree or Equivalent,ALAT,Colony management,,47500,,,,NA,,,,,NA,"Pay is not amazing, but the benefits outweigh that heavily. Paid schooling/certificates through EEP program, incredible insurance and 403b, abundance of vacation after 2 years, easy to network, etc. An incredible jump off point for starting your career if you still need a degree or care more about work/life balance"
2023-12-07T16:27:09Z,United States,San Francisco,Academia/Research/Institution,Verily Life Sciences,Subsidiary,1000-5000,Molecular Biology Research Technician,Bachelors or Equivalent,None,NA,,87360,,,,NA,,,,,NA,NA
2023-03-29T01:52:08Z,USA,San Diego,Academia/Research/Institution,Prefer not to say,Start-up,1-50,Associate Scientist,Masters or Equivalent,N/A,Associate Scientist - Lead and develop stem cell engineering platform,,150000,,,,NA,,,,,NA,NA
2023-03-29T03:36:12Z,USA,Bay Area,Academia/Research/Institution,Chan Zuckerberg Biohub,Private,50-200,Research Associate I,Bachelors or Equivalent,None,NA,,77000,,,,NA,,,,,2500,"Great, less overworked than in academia. Some PIs micromanage to the extreme, others can be very laid back. Very team-dependent experience. Poor with promotions within the company"
2023-03-29T09:18:23Z,USA,Portland,Academia/Research/Institution,Twist,Public,200-1000,Supervisor I,Bachelors or Equivalent,None,"Reagents supervisor, manage team of about 20 people to supply multiple departments",,83000,,,,0,,,,,10000,Twist is nice and chill and will succeed if the C level can focus on mfg instead of courting investors
2023-03-29T12:01:17Z,USA,Seattle,Academia/Research/Institution,Universal Cells,Subsidiary,50-200,Senior Research Associate,Masters or Equivalent,None,NA,,95000,,,,NA,,,,,NA,NA
2023-06-20T04:19:25Z,USA,Seattle,Academia/Research/Institution,Prefer not to say,Start-up,50-200,Scientist I,Masters or Equivalent,None,NA,,90000,,,,NA,,,,,NA,NA
2023-09-07T01:10:20Z,USA,Bay Area,Academia/Research/Institution,Prefer not to say,Private,1-50,Senior Data Scientist,PhD or Equivalent,None,Build models to predict age related diseases,,175000,,,,0,,,,,NA,I like it
2023-09-07T20:14:21Z,USA,Boston,Academia/Research/Institution,Dana-Farber Cancer Institute,Academia/College/Universities,1000-5000,Senior Research Technician,Masters or Equivalent,None,NA,,50700,,,,1000,,,,,NA,Love it. Except for the pay.
2023-10-02T11:03:26Z,USA,Seattle,Academia/Research/Institution,Fred Hutch,Academia/College/Universities,5000+,Quality Assurance Associate II,Bachelors or Equivalent,None,NA,,74000,,,,NA,,,,,NA,NA
2023-10-04T17:17:43Z,USA,Houston,Academia/Research/Institution,MD Anderson,Private,5000+,Institute Associate Scientist II,Masters or Equivalent,None,Protein science - mAb expression,,70100,,,,NA,,,,,NA,NA
2023-10-09T11:34:38Z,USA,Baltimore,Academia/Research/Institution,"University of Maryland, Baltimore",Academia/College/Universities,5000+,Research Assistant,Bachelors or Equivalent,None,Working under a professor studying mitochondria,,47000,,,,0,,,,,NA,"7/10, very hands-off professor, communication within the lab could use some work, extremely easy job. Unsure if my undergraduate research gave me a pay increase. Tuition reimbursement if I decide to get my phD here."
2023-10-14T13:39:23Z,USA,Buffalo,Academia/Research/Institution,Prefer not to say,Public,5000+,Res Asst Prof,PhD or Equivalent,None,Manage Preclincal Trials and MRI facility,,88750,,,,NA,,,,,NA,NA
2023-07-31T15:05:49Z,USA,New York,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,1-50,Lab Technician,Bachelors or Equivalent,None,Computational biologist. Working with computer vision and image processing,,46800,,,,NA,,,,,0,Working for an established university lab is like working at a startup- you jave to wear a lot of hats. For me its from software dev to data engineer to analyst
