Timestamp,What country do you work in?,Where is the closest major city or hub?,Where are you located?,Biotech sub industry?,Company or Institution Name,Company Details - public/private/start-up/ subsidiary of,Company Detail - Approximate Company Size,Role / Title of current position,What degrees do you have?,List other relevant and recognized certifications,[Optional] Briefly describe your position,Years of Experience,Compensation - Annual Base Salary/Pay,Compensation - Overtime Pay,Compensation - Annual Target Bonus ($),Compensation - Annual Equity/Stock Option,Compensation - Most recent annual yearly raise (%),Compensation - Sign on Bonus Value,Compensation - Sign on Stock/Equity Options,Compensation - Retirement Benefits (free text),Compensation - Retirement Percent Match (free text),Compensation - Healthcare Benefits (free text),[OPTIONAL] Sign on - Relocation Assistance Total Value,[Optional] Company Review,"[Optional] Work Life Balance - On average, how many hours do you work per week",Survey Feedback
2024-01-01T01:01:05Z,US,San Diego,NA,Contract Research Organization,Prefer not to say,Private,1-50,,PhD or Equivalent,None,Principal Scientist R&D and operations.,10,155000,,,,,NA,,,NA,,,,40-50,NA
2024-01-01T01:03:03Z,USA,Georgia,NA,Chemical,Prefer not to say,Private,1000-5000,,Bachelors or Equivalent,None,NA,0,51500,,,,,NA,,,NA,,,,40-50,NA
2024-01-01T01:11:03Z,USA,Los Angeles,NA,Big Pharmaceuticals,Prefer not to say,Public,5000+,,Masters or Equivalent,None,NA,7,170000,,,,,25000,,,NA,,,,30-40,NA
2024-01-01T01:23:27Z,US,San Diego,NA,Industrial Biotech,Prefer not to say,Start-up,1-50,,Bachelors or Equivalent,None,Bench scientist in a protein therapeutic group (protein purification),27,120000,,,,,NA,,,NA,,,,40-50,NA
2024-01-01T01:23:29Z,United States,San Diego,NA,Big Pharmaceuticals,Prefer not to say,Public,50-200,,Bachelors or Equivalent,None,"Combination of process engineer, process development, and assay development.",7,98000,,,,,0,,,NA,,,,40-50,NA
2024-01-01T01:24:42Z,USA,Boston,NA,Medical/Health Devices,Prefer not to say,Start-up,50-200,,Bachelors or Equivalent,None,NA,2,76000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T01:37:28Z,USA,San Francisco,NA,Regulatory Affairs,Prefer not to say,Public,50-200,,Masters or Equivalent,None,NA,10,175000,,,,,NA,,,NA,,,,>60,NA
2024-01-01T02:17:44Z,United States,San Diego,NA,Big Pharmaceuticals,Prefer not to say,Public,1000-5000,,PhD or Equivalent,None,NA,4,130000,,,,,15000,,,NA,,,,40-50,NA
2024-01-01T02:21:34Z,United States,Bay Area,NA,Industrial Biotech,Prefer not to say,Start-up,50-200,,PhD or Equivalent,None,NA,17,240000,,,,,33000,,,NA,,,,40-50,NA
2024-01-01T02:26:12Z,USA,Bay area,NA,Medical/Health Devices,Mammoth Bio,Private,50-200,,PhD or Equivalent,None,NA,7,180000,,,,,NA,,,NA,,,,40-50,NA
2024-01-01T02:28:06Z,United States,Los Angeles,NA,Industrial Biotech,Prefer not to say,Private,200-1000,,Masters or Equivalent,None,NA,15,125000,,,,,0,,,NA,,,,30-40,NA
2024-01-01T02:29:41Z,USA,San Diego,NA,Big Pharmaceuticals,Prefer not to say,Public,200-1000,,Bachelors or Equivalent,None,Analytical Development,8,90000,,,,,NA,,,NA,,,,40-50,NA
2024-01-01T03:13:47Z,United States,Seattle,NA,Biologics,Prefer not to say,Start-up,50-200,,PhD or Equivalent,None,NA,6,170000,,,,,NA,,,NA,,,,40-50,NA
2024-01-01T03:59:06Z,USA,NYC,NA,Big Pharmaceuticals,Pfizer,Private,5000+,,Masters or Equivalent,None,Medical affairs,8,158000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T04:14:29Z,USA,NYC,NA,Big Pharmaceuticals,Prefer not to say,Public,5000+,,Masters or Equivalent,None,HEOR,2,110000,,,,,0,,,NA,,,,30-40,NA
2024-01-01T04:24:48Z,United States,Los Angeles,NA,Big Pharmaceuticals,Prefer not to say,Subsidiary,5000+,,Masters or Equivalent,None,NA,8,140000,,,,,10000,,,NA,,,,40-50,NA
2024-01-01T04:38:58Z,USA,Seattle,NA,Industrial Biotech,Prefer not to say,Private,50-200,,PhD or Equivalent,None,NA,3,112000,,,,,NA,,,NA,,,,40-50,NA
2024-01-01T04:43:16Z,USA,Boston,NA,Industrial Biotech,Moderna,Public,1000-5000,,PhD or Equivalent,None,"AD - oversee program development strategy, design studies, manage direct reports",8,200000,,,,,0,,,NA,,,,40-50,NA
2024-01-01T04:43:40Z,USA,Philadelphia,NA,Big Pharmaceuticals,Prefer not to say,Public,5000+,,Bachelors or Equivalent,None,NA,6,100000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T05:06:42Z,Usa,Boston,NA,Big Pharmaceuticals,Abbvie,Public,5000+,,PhD or Equivalent,None,NA,2,135000,,,,,NA,,,NA,,,,50-60,NA
2024-01-01T05:15:26Z,Sweden,Stockholm,NA,Private Biotech,Prefer not to say,Private,50-200,,PhD or Equivalent,None,"Lead all partnering and deal making activity, alliance management and non-finance business operations.",17,185000,,,,,NA,,,NA,,,,40-50,NA
2024-01-01T05:47:38Z,United States,Philadelphia,NA,Big Pharmaceuticals,Merck,Public,5000+,,Bachelors or Equivalent,None,Technical Operations for biological manufacturing,3,98500,,,,,5000,,,NA,,,,40-50,NA
2024-01-01T05:53:49Z,USA,Seattle,NA,Big Pharmaceuticals,BMS,Public,5000+,,Bachelors or Equivalent,None,NA,1,89000,,,,,NA,,,NA,,,,30-40,NA
2024-01-01T07:08:09Z,UK,London,NA,Big Pharmaceuticals,Prefer not to say,Public,5000+,,PhD or Equivalent,None,Senior Scientist CompBio R&D,2,80000,,,,,NA,,,NA,,,,40-50,NA
2024-01-01T07:19:45Z,United States of America,Philadelphia,NA,Industrial Biotech,Prefer not to say,Public,50-200,,Masters or Equivalent,None,Process Development/MSAT Head,14,230000,,,,,0,,,NA,,,,40-50,NA
2024-01-01T07:53:37Z,USA,Philadelphia,NA,Big Pharmaceuticals,J&J,Private,5000+,,PhD or Equivalent,None,Analytical chemist,5,150000,,,,,10000,,,NA,,,,40-50,NA
2024-01-01T08:01:32Z,USA,Philadelphia,NA,Industrial Biotech,Prefer not to say,Private,50-200,,PhD or Equivalent,None,NA,9,120000,,,,,NA,,,NA,,,,40-50,NA
2024-01-01T08:27:23Z,United States,Boston,NA,Big Pharmaceuticals,Prefer not to say,Public,5000+,,Bachelors or Equivalent,None,"Manage team, lead projects, operational decision maker",12,153000,,,,,NA,,,NA,,,,40-50,NA
2024-01-01T08:32:04Z,United States,Boston,NA,Big Pharmaceuticals,Prefer not to say,Public,200-1000,,PhD or Equivalent,None,Lead program teams to deliver scientific data packages to support preclinical PoC for novel cell therapy drugs,18,210,,,,,20,,,NA,,,,40-50,NA
2024-01-01T08:50:17Z,USA,Boston,NA,Contract Manufacturing Organization,Thermofisher,Public,5000+,,Bachelors or Equivalent,None,NA,10,145000,,,,,0,,,NA,,,,40-50,NA
2024-01-01T09:05:02Z,Usa,philly,NA,Industrial Biotech,Amicus Therapeutics,Public,200-1000,,Masters or Equivalent,None,"Should be doing r&d, but since massive layoffs, I just run routine samples.",7,75000,,,,,0,,,NA,,,,40-50,NA
2024-01-01T09:05:15Z,Usa,philly,NA,Industrial Biotech,Amicus Therapeutics,Public,200-1000,,Masters or Equivalent,None,"Should be doing r&d, but since massive layoffs, I just run routine samples.",7,75000,,,,,0,,,NA,,,,40-50,NA
2024-01-01T09:06:00Z,USA,Philadelphia,NA,Big Pharmaceuticals,Prefer not to say,Subsidiary,200-1000,,Bachelors or Equivalent,None,Downstream PD Scientist,5,110000,,,,,0,,,NA,,,,30-40,NA
2024-01-01T09:11:34Z,United States,New Jersey,NA,Big Pharmaceuticals,Prefer not to say,Public,200-1000,,PhD or Equivalent,None,Medicinal chemistry lead,7,150000,,,,,10000,,,NA,,,,30-40,NA
2024-01-01T09:14:08Z,United States,Boston,NA,Big Pharmaceuticals,Takeda Pharmaceuticals,Public,5000+,,Masters or Equivalent,None,CMC MSAT,9,135000,,,,,10000,,,NA,,,,NA,NA
2024-01-01T09:29:48Z,United States,San Francisco,NA,Medical/Health Devices,Prefer not to say,Public,5000+,,PhD or Equivalent,None,Develop assays,2,130000,,,,,0,,,NA,,,,30-40,NA
2024-01-01T09:31:34Z,US,NYC,NA,Big Pharmaceuticals,Prefer not to say,Public,5000+,,PhD or Equivalent,None,Sr Scientist - Genetic Medicines related,2,139000,,,,,5000,,,NA,,,,40-50,NA
2024-01-01T09:39:19Z,United States,Tampa,NA,Contract Research Organization,Prefer not to say,Private,50-200,,Bachelors or Equivalent,None,NA,1,50000,,,,,0,,,NA,,,,30-40,NA
