Timestamp,What country do you work in?,Where is the closest major city or hub?,Biotech sub industry?,Company or Institution Name,Company Details - public/private/start-up/ subsidiary of,Company Detail - Approximate Company Size,Role / Title of current position,Highest achieved Formal Education,List other relevant and recognized certifications,[Optional] Briefly describe your position,Years of Experience,Compensation - Annual Base Salary/Pay,Compensation - Overtime Pay,Compensation - Annual Target Bonus ($),Compensation - Annual Equity,Compensation - Sign on Bonus Value,Compensation - Stock Options,Compensation - Retirement Benefits (free text),Compensation - Healthcare Benefits (free text),Compensation - Most recent annual yearly raise (%),[OPTIONAL] Sign on - Relocation Assistance Total Value,[Optional] Company Review
8/6/2023 13:35:24,Canada,Toronto,Academia/Research/Institution,Prefer not to say,Private,200-1000,Medical Writer,Bachelors or Equivalent,None,Regulatory writing in clinical CRO,5,60000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,NA,NA,NA,"Fully paid health insurance, HSA",Have not been long enough to have an annual yearly raise,NA,NA
4/19/2023 19:24:24,Germany,Munich,Academia/Research/Institution,Max Planck Institute,Academia/College/Universities,5000+,Post-doc,PhD or Equivalent,None,NA,4,58000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,Have not been long enough to have an annual yearly raise,NA,"Very good place, very fair treatment"
6/22/2023 16:28:50,Slovenia,Ljubljana,Academia/Research/Institution,Prefer not to say,Public,50-200,Student assistant researcher,Bachelors or Equivalent,None,"Student helping out in the downstream processes department of a Biotech company, mostly working with protein extraction and quantification",0,13166,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,8 percent increase every few months,NA,NA
6/14/2023 15:30:45,United Kingdom,Edinburgh,Academia/Research/Institution,University of Edinburgh,Academia/College/Universities,5000+,Postdoc,PhD or Equivalent,None,Postdoc,2,38000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,2,NA,NA
3/29/2023 2:06:32,United States,Bay Area,Academia/Research/Institution,Prefer not to say,Start-up,1-50,Research Scientist,Masters or Equivalent,None,NA,7,105000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,10,NA,NA
3/29/2023 10:29:21,United States,Seattle,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,50-200,Bioinformatics intern,Masters or Equivalent,None,Single cell RNA seq analysis,0,74000,1.5x base,Not Applicable/None,Not Applicable/None,NA,NA,5%,"Full health, dental, vision coverage",Have not been long enough to have an annual yearly raise,4000,NA
3/29/2023 16:57:27,United States,Los Angeles,Academia/Research/Institution,Thermo Fisher,Public,5000+,Technical Application Scientist II,PhD or Equivalent,None,NA,2,83000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,NA,NA,401k match 6%,High deductible,3%,NA,NA
3/29/2023 19:50:18,United States,New York,Academia/Research/Institution,Regeneron,Private,5000+,Process development associate II,Bachelors or Equivalent,None,NA,1,80000,N/A (no overtime/salaried),6400,Options,10000,NA,NA,NA,Have not been long enough to have an annual yearly raise,NA,NA
4/3/2023 16:14:40,United States,New York,Academia/Research/Institution,Prefer not to say,Private,1-50,Licensing Agent,PhD or Equivalent,None,NA,7,195000,N/A (no overtime/salaried),27000,Not Applicable/None,NA,NA,NA,NA,Yes,NA,NA
4/8/2023 7:56:38,United States,Research Triangle,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,5000+,Associate Scientist II,Bachelors or Equivalent,None,NA,13,115000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,NA,NA,11% employer retirement contribution,"Fairly average health, dental, etc",Have not been long enough to have an annual yearly raise,NA,NA
